id,player_name,card_name_version,team,era,primary_position,secondary_positions,current_ovr,current_tier,offense,defense,playmaking,shooting,rebounding,athleticism,intangibles,durability,badges,archetype,source_file,source_line
larry-johnson-knicks,Larry Johnson (Knicks),Larry Johnson (Knicks),New York Knicks,1996-2001,PF,SF,84,Sapphire,79,74,58,74,68,72,90,73,Connector;Defensive IQ;Clutch,Veteran Glue Forward,src/data/players.ts,534
lonzo-ball-pelicans,Lonzo Ball (Pelicans),Lonzo Ball (Pelicans),New Orleans Pelicans,2019-2021,PG,SG,84,Sapphire,77,84,88,76,56,81,85,63,Floor General;Point-of-Attack;Transition Force,Transition Playmaking Guard,src/data/players.ts,866
luguentz-dort-2025-26,Luguentz Dort (2025-26),Luguentz Dort (2025-26),Oklahoma City Thunder,2025-26,SF,,84,Sapphire,79,88,79,86,84,85,87,92,Wing Stopper,2025-26 Rotation Piece,src/data/players-current-2026.ts,483
luis-scola,Luis Scola,Luis Scola,Houston Rockets,2007-2020,PF,C,84,Sapphire,84,62,48,66,80,58,87,88,Post Scorer;Midrange Touch;Connector,Craft Scoring Four,src/data/players.ts,604
luol-deng,Luol Deng,Luol Deng,Chicago Bulls,2004-2019,SF,PF,84,Sapphire,80,84,58,77,60,74,89,88,Wing Stopper;Connector;Iron Man,Two-Way Wing Glue,src/data/players.ts,523
marcus-camby-knicks,Marcus Camby (Knicks),Marcus Camby (Knicks),New York Knicks,1998-2002,C,PF,84,Sapphire,58,92,30,24,86,83,83,61,Rim Protector;Switchable Big;Glass Cleaner,Explosive Defensive Big,src/data/players.ts,722
mark-eaton,Mark Eaton,Mark Eaton,Utah Jazz,1982-1994,C,,84,Sapphire,38,98,18,16,88,42,86,86,Rim Protector;Defensive IQ;Paint Anchor,Extreme Drop Coverage Anchor,src/data/players.ts,584
mark-williams-2025-26,Mark Williams (2025-26),Mark Williams (2025-26),Phoenix Suns,2025-26,C,,84,Sapphire,83,84,74,78,87,84,84,87,Glass Cleaner;Rim Protector;Vertical Threat,2025-26 Interior Anchor,src/data/players-current-2026.ts,275
mike-bibby,Mike Bibby,Mike Bibby,Sacramento Kings,1998-2012,PG,SG,84,Sapphire,84,48,79,86,32,66,85,86,Elite Shooter;Floor General;Clutch,Pick-and-Roll Shotmaker,src/data/players.ts,579
moses-moody-2025-26,Moses Moody (2025-26),Moses Moody (2025-26),Golden State Warriors,2025-26,SG,,84,Sapphire,87,86,84,91,83,87,88,88,Elite Shooter,2025-26 Perimeter Sniper,src/data/players-current-2026.ts,350
myles-turner-2025-26,Myles Turner (2025-26),Myles Turner (2025-26),Milwaukee Bucks,2025-26,C,,84,Sapphire,86,88,82,90,90,89,89,93,Vertical Threat;Paint Pressure,2025-26 Interior Anchor,src/data/players-current-2026.ts,328
naji-marshall-2025-26,Naji Marshall (2025-26),Naji Marshall (2025-26),Dallas Mavericks,2025-26,SF,,84,Sapphire,89,85,89,83,87,89,90,95,Transition Force;Paint Pressure,2025-26 Connector Creator,src/data/players-current-2026.ts,303
nicolas-batum-blazers,Nicolas Batum (Blazers),Nicolas Batum (Blazers),Portland Trail Blazers,Team-specific historical variant,SF,SG,84,Sapphire,,,,,,,,,,,src/data/players.ts,822
noah-clowney-2025-26,Noah Clowney (2025-26),Noah Clowney (2025-26),Brooklyn Nets,2025-26,PF,,84,Sapphire,84,84,82,87,86,89,82,91,Transition Force,2025-26 Frontcourt Enforcer,src/data/players-current-2026.ts,420
og-anunoby-raptors,OG Anunoby (Raptors),OG Anunoby (Raptors),Toronto Raptors,2017-2024,SF,PF,84,Sapphire,76,92,42,81,62,84,85,73,Wing Stopper;Switchable Big;Elite Shooter,Power Wing Stopper,src/data/players.ts,729
otis-thorpe,Otis Thorpe,Otis Thorpe,Houston Rockets,1984-2001,PF,C,84,Sapphire,79,74,42,48,88,74,85,92,Glass Cleaner;Interior Force;Iron Man,Physical Rebounding Four,src/data/players.ts,603
quentin-grimes-2025-26,Quentin Grimes (2025-26),Quentin Grimes (2025-26),Philadelphia 76ers,2025-26,SG,,84,Sapphire,87,85,87,88,83,89,87,95,Transition Force;Paint Pressure,2025-26 Floor Spacer,src/data/players-current-2026.ts,353
rex-chapman-suns,Rex Chapman (Suns),Rex Chapman (Suns),Phoenix Suns,Team-specific historical variant,SG,PG,84,Sapphire,,,,,,,,,,,src/data/players.ts,823
richard-jefferson,Richard Jefferson,Richard Jefferson,Brooklyn Nets,2001-2018,SF,SG,84,Sapphire,82,69,52,77,48,82,84,84,Transition Force;Off-Ball Gravity;Connector,Athletic Complementary Wing,src/data/players.ts,573
ricky-rubio-timberwolves,Ricky Rubio (Timberwolves),Ricky Rubio (Timberwolves),Minnesota Timberwolves,2011-2017,PG,SG,84,Sapphire,74,79,93,58,42,70,90,76,Floor General;Defensive IQ;Connector,Pass-First Floor General,src/data/players.ts,601
rip-hamilton-wizards,Rip Hamilton (Wizards),Rip Hamilton (Wizards),Washington Wizards,1999-2002,SG,SF,84,Sapphire,85,62,54,82,38,79,81,81,Off-Ball Gravity;Midrange Surgeon;Shot Creator,Young Movement Scorer,src/data/players.ts,846
robert-horry-spurs,Robert Horry (Spurs),Robert Horry (Spurs),San Antonio Spurs,2003-2008,PF,C;SF,84,Sapphire,74,82,48,82,61,64,95,80,Clutch;Champion DNA;Elite Shooter,Veteran Clutch Spacer,src/data/players.ts,863
rui-hachimura-2025-26,Rui Hachimura (2025-26),Rui Hachimura (2025-26),Los Angeles Lakers,2025-26,PF,,84,Sapphire,87,81,80,91,82,84,87,92,Elite Shooter,2025-26 Floor Spacer,src/data/players-current-2026.ts,422
scoot-henderson-2025-26,Scoot Henderson (2025-26),Scoot Henderson (2025-26),Portland Trail Blazers,2025-26,PG,,84,Sapphire,84,82,85,86,80,85,82,78,,2025-26 Rotation Piece,src/data/players-current-2026.ts,466
serge-ibaka-raptors,Serge Ibaka (Raptors),Serge Ibaka (Raptors),Toronto Raptors,2017-2020,PF,C,84,Sapphire,78,84,28,74,80,72,86,80,Rim Protector;Elite Shooter;Champion DNA,Veteran Two-Way Big,src/data/players.ts,731
shareef-abdour-rahim,Shareef Abdour-Rahim,Shareef Abdour-Rahim,Memphis Grizzlies,1996-2008,PF,SF,84,Sapphire,86,56,58,70,77,76,81,73,Three-Level Scorer;Mismatch Weapon;Connector,Versatile Scoring Forward,src/data/players.ts,680
tari-eason-2025-26,Tari Eason (2025-26),Tari Eason (2025-26),Houston Rockets,2025-26,PF,,84,Sapphire,79,85,77,82,88,83,82,88,Glass Cleaner;Switchable Big;Point-of-Attack,2025-26 Frontcourt Enforcer,src/data/players-current-2026.ts,399
tony-allen,Tony Allen,Tony Allen,Memphis Grizzlies,2004-2018,SG,SF,84,Sapphire,62,97,43,34,48,83,91,77,Wing Stopper;Point-of-Attack;Defensive IQ,Perimeter Stopper Specialist,src/data/players.ts,569
tre-jones-2025-26,Tre Jones (2025-26),Tre Jones (2025-26),Chicago Bulls,2025-26,PG,,84,Sapphire,91,85,92,85,81,88,91,90,Floor General;Three-Level Scorer;Paint Pressure,2025-26 Offensive Engine,src/data/players-current-2026.ts,309
trevor-ariza-rockets,Trevor Ariza (Rockets),Trevor Ariza (Rockets),Houston Rockets,2014-2019,SF,SG,84,Sapphire,74,88,42,84,55,74,88,84,Wing Stopper;Elite Shooter;Defensive IQ,Veteran 3-and-D Wing,src/data/players.ts,655
tyson-chandler-hornets,Tyson Chandler (Hornets),Tyson Chandler (Hornets),New Orleans Pelicans,2006-2009,C,,84,Sapphire,64,90,20,12,89,84,86,73,Vertical Threat;Rim Protector;Glass Cleaner,Mobile Rim-Running Anchor,src/data/players.ts,488
tyson-chandler-knicks,Tyson Chandler (Knicks),Tyson Chandler (Knicks),New York Knicks,Team-specific historical variant,C,,84,Sapphire,,,,,,,,,,,src/data/players.ts,824
vin-baker,Vin Baker,Vin Baker,Milwaukee Bucks,1993-2006,PF,C,84,Sapphire,84,58,44,60,79,75,77,73,Interior Force;Post Scorer;Mismatch Weapon,Skilled Power Scorer,src/data/players.ts,675
wesley-matthews-blazers,Wesley Matthews (Blazers),Wesley Matthews (Blazers),Portland Trail Blazers,Team-specific historical variant,SG,SF,84,Sapphire,,,,,,,,,,,src/data/players.ts,825
zach-lavine-2025-26,Zach LaVine (2025-26),Zach LaVine (2025-26),Sacramento Kings,2025-26,SG,,84,Sapphire,89,78,85,91,78,84,84,81,Elite Shooter;Paint Pressure,2025-26 Perimeter Sniper,src/data/players-current-2026.ts,425
a-c-green-lakers,A.C. Green (Lakers),A.C. Green (Lakers),Los Angeles Lakers,Team-specific historical variant,PF,C,83,Sapphire,,,,,,,,,,,src/data/players.ts,826
a-j-green-2025-26,A.J. Green (2025-26),A.J. Green (2025-26),Milwaukee Bucks,2025-26,SG,,83,Sapphire,84,76,82,95,78,80,84,96,Elite Shooter,2025-26 Perimeter Sniper,src/data/players-current-2026.ts,449
aaron-brooks-rockets,Aaron Brooks (Rockets),Aaron Brooks (Rockets),Houston Rockets,Team-specific historical variant,PG,SG,83,Sapphire,,,,,,,,,,,src/data/players.ts,827
aaron-wiggins-2025-26,Aaron Wiggins (2025-26),Aaron Wiggins (2025-26),Oklahoma City Thunder,2025-26,SG,,83,Sapphire,81,86,80,84,80,82,84,89,Wing Stopper,2025-26 Rotation Piece,src/data/players-current-2026.ts,426
al-harrington-knicks,Al Harrington (Knicks),Al Harrington (Knicks),New York Knicks,2008-2010,PF,SF,83,Sapphire,85,54,46,80,70,72,79,82,Three-Level Scorer;Elite Shooter;Bench Scorer,Spacing Scoring Forward,src/data/players.ts,623
al-harrington-warriors,Al Harrington (Warriors),Al Harrington (Warriors),Golden State Warriors,2006-2008,PF,SF,83,Sapphire,84,57,46,79,70,74,81,83,Three-Level Scorer;Mismatch Weapon;Off-Ball Gravity,Small-Ball Scoring Forward,src/data/players.ts,624
alex-caruso-2025-26,Alex Caruso (2025-26),Alex Caruso (2025-26),Oklahoma City Thunder,2025-26,SG,,83,Sapphire,81,88,84,82,82,83,86,85,Wing Stopper;Point-of-Attack,2025-26 Rotation Piece,src/data/players-current-2026.ts,471
andray-blatche-wizards,Andray Blatche (Wizards),Andray Blatche (Wizards),Washington Wizards,2005-2012,PF,C,83,Sapphire,84,58,54,62,78,71,73,71,Mismatch Weapon;Post Scorer;Shot Creator,Skilled Loose-Cannon Big,src/data/players.ts,845
andrei-kirilenko-nets,Andrei Kirilenko (Nets),Andrei Kirilenko (Nets),Brooklyn Nets,Team-specific historical variant,SF,PF,83,Sapphire,,,,,,,,,,,src/data/players.ts,828
anthony-mckie-76ers,Anthony McKie (76ers),Anthony McKie (76ers),Philadelphia 76ers,1994-2007,SG,SF;PG,83,Sapphire,76,82,67,76,44,72,87,82,Connector;Point-of-Attack;Defensive IQ,Connector Wing Guard,src/data/players.ts,720
antonio-davis-pacers,Antonio Davis (Pacers),Antonio Davis (Pacers),Indiana Pacers,Team-specific historical variant,PF,C,83,Sapphire,,,,,,,,,,,src/data/players.ts,829
avery-bradley,Avery Bradley,Avery Bradley,Boston Celtics,2010-2023,SG,PG,83,Sapphire,76,88,52,80,42,78,84,72,Point-of-Attack;Elite Shooter;Motor,Point-of-Attack 3-and-D Guard,src/data/players.ts,528
avery-johnson-spurs,Avery Johnson (Spurs),Avery Johnson (Spurs),San Antonio Spurs,Team-specific historical variant,PG,,83,Sapphire,,,,,,,,,,,src/data/players.ts,830
bilal-coulibaly-2025-26,Bilal Coulibaly (2025-26),Bilal Coulibaly (2025-26),Washington Wizards,2025-26,SG,,83,Sapphire,84,87,85,83,86,89,83,86,Transition Force;Point-of-Attack,2025-26 Transition Threat,src/data/players-current-2026.ts,405
boris-diaw,Boris Diaw,Boris Diaw,Phoenix Suns,2003-2017,PF,C;SF,83,Sapphire,78,74,79,71,60,58,91,81,Connector;Point Forward;Champion DNA,Playmaking Connector Big,src/data/players.ts,526
brandin-podziemski-2025-26,Brandin Podziemski (2025-26),Brandin Podziemski (2025-26),Golden State Warriors,2025-26,SG,,83,Sapphire,88,87,90,90,89,89,91,98,Floor General;Transition Force;Paint Pressure,2025-26 Perimeter Sniper,src/data/players-current-2026.ts,265
brandon-jennings,Brandon Jennings,Brandon Jennings,Milwaukee Bucks,2009-2018,PG,SG,83,Sapphire,83,45,82,78,32,81,80,66,Shot Creator;Floor General;Clutch,Heat-Check Lead Guard,src/data/players.ts,701
brice-sensabaugh-2025-26,Brice Sensabaugh (2025-26),Brice Sensabaugh (2025-26),Utah Jazz,2025-26,SF,,83,Sapphire,86,75,82,87,79,82,80,94,Paint Pressure,2025-26 Floor Spacer,src/data/players-current-2026.ts,407
byron-scott,Byron Scott,Byron Scott,Los Angeles Lakers,1983-1997,SG,SF,83,Sapphire,82,66,48,80,38,78,86,85,Transition Force;Elite Shooter;Champion DNA,Championship Scoring Wing,src/data/players.ts,673
cam-spencer-2025-26,Cam Spencer (2025-26),Cam Spencer (2025-26),Memphis Grizzlies,2025-26,SG,,83,Sapphire,89,81,92,94,80,85,91,93,Elite Shooter;Floor General,2025-26 Perimeter Sniper,src/data/players-current-2026.ts,314
cason-wallace-2025-26,Cason Wallace (2025-26),Cason Wallace (2025-26),Oklahoma City Thunder,2025-26,SG,,83,Sapphire,78,87,82,82,78,83,87,96,Wing Stopper;Point-of-Attack,2025-26 Rotation Piece,src/data/players-current-2026.ts,359
chandler-parsons-rockets,Chandler Parsons (Rockets),Chandler Parsons (Rockets),Houston Rockets,Team-specific historical variant,SF,PF,83,Sapphire,,,,,,,,,,,src/data/players.ts,831
christian-braun-2025-26,Christian Braun (2025-26),Christian Braun (2025-26),Denver Nuggets,2025-26,SG,,83,Sapphire,86,81,86,84,87,86,86,83,,2025-26 Rotation Piece,src/data/players-current-2026.ts,382
corey-maggette,Corey Maggette,Corey Maggette,Los Angeles Clippers,1999-2013,SF,SG,83,Sapphire,85,46,44,70,55,85,79,76,Paint Pressure;Transition Force;Bench Scorer,Foul-Line Pressure Wing,src/data/players.ts,686
dale-davis,Dale Davis,Dale Davis,Indiana Pacers,1991-2007,PF,C,83,Sapphire,74,84,30,44,87,72,86,84,Glass Cleaner;Defensive IQ;Motor,Physical Interior Workhorse,src/data/players.ts,621
damon-stoudamire-raptors,Damon Stoudamire (Raptors),Damon Stoudamire (Raptors),Toronto Raptors,Team-specific historical variant,PG,SG,83,Sapphire,,,,,,,,,,,src/data/players.ts,832
daniel-gafford-2025-26,Daniel Gafford (2025-26),Daniel Gafford (2025-26),Dallas Mavericks,2025-26,C,,83,Sapphire,87,89,79,80,92,89,88,85,Glass Cleaner;Rim Protector;Vertical Threat,2025-26 Interior Anchor,src/data/players-current-2026.ts,336
david-west,David West,David West,New Orleans Pelicans,2003-2018,PF,C,83,Sapphire,81,73,48,68,74,61,90,84,Midrange Surgeon;Connector;Champion DNA,Veteran Midrange Big,src/data/players.ts,545
david-west-pacers,David West (Pacers),David West (Pacers),Indiana Pacers,Team-specific historical variant,PF,C,83,Sapphire,,,,,,,,,,,src/data/players.ts,833
davion-mitchell-2025-26,Davion Mitchell (2025-26),Davion Mitchell (2025-26),Miami Heat,2025-26,PG,,83,Sapphire,84,85,90,88,79,84,88,93,Floor General,2025-26 Shotmaking Guard,src/data/players-current-2026.ts,383
dennis-scott,Dennis Scott,Dennis Scott,Orlando Magic,1990-2000,SF,SG,83,Sapphire,83,48,40,90,45,68,79,78,Elite Shooter;Off-Ball Gravity;Bench Scorer,Volume Floor-Spacer Wing,src/data/players.ts,679
derrick-white-spurs,Derrick White (Spurs),Derrick White (Spurs),San Antonio Spurs,2017-2022,PG,SG,83,Sapphire,79,80,76,78,38,72,85,78,Connector;Point-of-Attack;Defensive IQ,Steady Two-Way Combo Guard,src/data/players.ts,869
donte-divincenzo-2025-26,Donte DiVincenzo (2025-26),Donte DiVincenzo (2025-26),Minnesota Timberwolves,2025-26,SG,,83,Sapphire,81,86,84,87,80,84,87,98,Elite Shooter;Floor General;Wing Stopper,2025-26 Perimeter Sniper,src/data/players-current-2026.ts,266
eric-gordon,Eric Gordon,Eric Gordon,Houston Rockets,2008-Present,SG,PG,83,Sapphire,84,56,52,88,34,76,82,74,Elite Shooter;Deep Range;Shot Creator,Power Shooting Combo Guard,src/data/players.ts,690
eric-gordon-clippers,Eric Gordon (Clippers),Eric Gordon (Clippers),Los Angeles Clippers,Team-specific historical variant,SG,PG,83,Sapphire,,,,,,,,,,,src/data/players.ts,834
gordon-hayward-celtics,Gordon Hayward (Celtics),Gordon Hayward (Celtics),Boston Celtics,Team-specific historical variant,SF,SG,83,Sapphire,,,,,,,,,,,src/data/players.ts,835
harrison-barnes-kings,Harrison Barnes (Kings),Harrison Barnes (Kings),Sacramento Kings,Team-specific historical variant,PF,SF,83,Sapphire,,,,,,,,,,,src/data/players.ts,878
harrison-barnes-warriors,Harrison Barnes (Warriors),Harrison Barnes (Warriors),Golden State Warriors,2012-2016,SF,PF,83,Sapphire,79,74,46,78,56,76,84,82,Connector;Wing Stopper;Champion DNA,Championship Combo Forward,src/data/players.ts,464
herbert-jones-2025-26,Herbert Jones (2025-26),Herbert Jones (2025-26),New Orleans Pelicans,2025-26,SF,,83,Sapphire,79,88,84,84,83,86,81,87,Wing Stopper;Point-of-Attack,2025-26 Rotation Piece,src/data/players-current-2026.ts,477
j-j-redick,J.J. Redick,J.J. Redick,Orlando Magic,2006-2021,SG,PG,83,Sapphire,84,42,48,94,28,63,83,82,Elite Shooter;Off-Ball Gravity;Bench Scorer,Movement Shooting Specialist,src/data/players.ts,649
j-r-smith-nuggets,J.R. Smith (Nuggets),J.R. Smith (Nuggets),Denver Nuggets,Team-specific historical variant,SG,SF,83,Sapphire,,,,,,,,,,,src/data/players.ts,879
jake-laravia-2025-26,Jake LaRavia (2025-26),Jake LaRavia (2025-26),Los Angeles Lakers,2025-26,PF,,83,Sapphire,79,85,77,80,83,84,83,97,Switchable Big;Transition Force;Point-of-Attack,2025-26 Frontcourt Enforcer,src/data/players-current-2026.ts,365
jakob-poeltl-2025-26,Jakob Poeltl (2025-26),Jakob Poeltl (2025-26),Toronto Raptors,2025-26,C,,83,Sapphire,87,88,84,79,91,88,88,82,Glass Cleaner,2025-26 Interior Anchor,src/data/players-current-2026.ts,339
jamal-tinsley,Jamal Tinsley,Jamal Tinsley,Indiana Pacers,2001-2011,PG,SG,83,Sapphire,80,63,88,74,36,72,82,58,Floor General;Shot Creator;Connector,Creative Tempo Floor General,src/data/players.ts,620
jaylen-wells-2025-26,Jaylen Wells (2025-26),Jaylen Wells (2025-26),Memphis Grizzlies,2025-26,SG,,83,Sapphire,83,78,81,86,80,83,82,92,,2025-26 Floor Spacer,src/data/players-current-2026.ts,459
jeff-teague,Jeff Teague,Jeff Teague,Atlanta Hawks,2009-2021,PG,SG,83,Sapphire,83,48,84,76,34,80,83,79,Floor General;Paint Pressure;Tempo Control,Pick-and-Roll Lead Guard,src/data/players.ts,593
jerry-stackhouse,Jerry Stackhouse,Jerry Stackhouse,Dallas Mavericks,1995-2013,SG,SF,83,Sapphire,85,52,58,78,40,76,83,78,Shot Creator;Bench Scorer;Clutch,Veteran Shotmaking Wing,src/data/players.ts,632
jonathan-kuminga-2025-26,Jonathan Kuminga (2025-26),Jonathan Kuminga (2025-26),Atlanta Hawks,2025-26,PF,,83,Sapphire,85,82,83,83,88,85,82,79,,2025-26 Rotation Piece,src/data/players-current-2026.ts,437
jose-alvarado-2025-26,Jose Alvarado (2025-26),Jose Alvarado (2025-26),New York Knicks,2025-26,PG,,83,Sapphire,80,84,85,84,79,81,84,91,,2025-26 Rotation Piece,src/data/players-current-2026.ts,479
keith-van-horn,Keith Van Horn,Keith Van Horn,Brooklyn Nets,1997-2008,PF,SF,83,Sapphire,84,52,46,80,73,68,79,75,Elite Shooter;Mismatch Weapon;Off-Ball Gravity,Stretch Scoring Forward,src/data/players.ts,628
kevin-garnett-nets,Kevin Garnett (Nets),Kevin Garnett (Nets),Brooklyn Nets,Team-specific historical variant,PF,C,83,Sapphire,,,,,,,,,,,src/data/players.ts,880
kyle-korver,Kyle Korver,Kyle Korver,Atlanta Hawks,2003-2020,SG,SF,83,Sapphire,84,46,40,97,34,58,86,80,Elite Shooter;Off-Ball Gravity;Connector,Movement Shooting Specialist,src/data/players.ts,594
kyle-lowry-heat,Kyle Lowry (Heat),Kyle Lowry (Heat),Miami Heat,Team-specific historical variant,PG,SG,83,Sapphire,,,,,,,,,,,src/data/players.ts,881
leandro-barbosa-suns,Leandro Barbosa (Suns),Leandro Barbosa (Suns),Phoenix Suns,2003-2010,SG,PG,83,Sapphire,85,46,58,84,28,92,82,80,Transition Force;Bench Scorer;Shot Creator,Jet-Speed Microwave Guard,src/data/players.ts,725
mahmoud-abdul-rauf,Mahmoud Abdul-Rauf,Mahmoud Abdul-Rauf,Denver Nuggets,1990-2001,PG,SG,83,Sapphire,86,36,72,91,26,80,82,73,Elite Shooter;Deep Range;Shot Creator,Deep Shooting Lead Guard,src/data/players.ts,677
max-christie-2025-26,Max Christie (2025-26),Max Christie (2025-26),Dallas Mavericks,2025-26,SG,,83,Sapphire,82,79,80,89,75,80,84,93,Elite Shooter,2025-26 Perimeter Sniper,src/data/players-current-2026.ts,396
miles-mcbride-2025-26,Miles McBride (2025-26),Miles McBride (2025-26),New York Knicks,2025-26,SG,,83,Sapphire,85,83,87,90,79,83,87,81,,2025-26 Perimeter Sniper,src/data/players-current-2026.ts,419
mitchell-robinson-2025-26,Mitchell Robinson (2025-26),Mitchell Robinson (2025-26),New York Knicks,2025-26,C,,83,Sapphire,86,90,79,79,93,88,89,87,Glass Cleaner;Rim Protector;Point-of-Attack,2025-26 Interior Anchor,src/data/players-current-2026.ts,349
mo-williams,Mo Williams,Mo Williams,Cleveland Cavaliers,2003-2017,PG,SG,83,Sapphire,83,46,78,85,31,73,82,77,Elite Shooter;Shot Creator;Clutch,Shotmaking Co-Star Guard,src/data/players.ts,640
nene-nuggets,Nene (Nuggets),Nene (Nuggets),Denver Nuggets,Team-specific historical variant,C,PF,83,Sapphire,,,,,,,,,,,src/data/players.ts,882
nikola-pekovic,Nikola Pekovic,Nikola Pekovic,Minnesota Timberwolves,2010-2017,C,PF,83,Sapphire,86,62,30,42,86,58,84,54,Interior Force;Glass Cleaner;Paint Gravity,Bruising Interior Scoring Center,src/data/players.ts,602
o-j-mayo,O.J. Mayo,O.J. Mayo,Memphis Grizzlies,2008-2016,SG,PG,83,Sapphire,84,49,60,84,35,74,79,74,Shot Creator;Elite Shooter;Bench Scorer,Shotmaking Combo Guard,src/data/players.ts,530
otto-porter-jr,Otto Porter Jr.,Otto Porter Jr.,Washington Wizards,2013-2023,SF,PF;SG,83,Sapphire,80,79,50,87,62,70,84,60,Elite Shooter;Wing Stopper;Connector,Low-Usage Two-Way Wing,src/data/players.ts,734
p-j-brown,P.J. Brown,P.J. Brown,New Orleans Pelicans,1992-2007,PF,C,83,Sapphire,72,84,34,58,82,68,90,88,Glass Cleaner;Defensive IQ;Connector,Defensive Utility Big,src/data/players.ts,546
peja-stojakovic-hornets,Peja Stojakovic (Hornets),Peja Stojakovic (Hornets),New Orleans Pelicans,2006-2011,SF,SG,83,Sapphire,83,46,42,94,46,55,84,63,Elite Shooter;Off-Ball Gravity;Connector,Veteran Spacing Wing,src/data/players.ts,487
raja-bell-suns,Raja Bell (Suns),Raja Bell (Suns),Phoenix Suns,2005-2008,SG,SF,83,Sapphire,78,86,42,86,40,72,87,83,Point-of-Attack;Elite Shooter;Defensive IQ,Hard-Nosed 3-and-D Guard,src/data/players.ts,726
robert-horry,Robert Horry,Robert Horry,Los Angeles Lakers,1992-2008,PF,SF;C,83,Sapphire,76,78,50,82,62,68,97,84,Clutch;Connector;Champion DNA,Clutch Championship Forward,src/data/players.ts,608
rudy-gay-raptors,Rudy Gay (Raptors),Rudy Gay (Raptors),Toronto Raptors,Team-specific historical variant,SF,PF,83,Sapphire,,,,,,,,,,,src/data/players.ts,883
ryan-dunn-2025-26,Ryan Dunn (2025-26),Ryan Dunn (2025-26),Phoenix Suns,2025-26,SF,,83,Sapphire,78,86,79,79,84,83,84,91,Wing Stopper;Point-of-Attack,2025-26 Rotation Piece,src/data/players-current-2026.ts,465
sam-perkins-sonics,Sam Perkins (Sonics),Sam Perkins (Sonics),Oklahoma City Thunder,1993-2001,PF,C,83,Sapphire,79,70,44,81,69,60,86,89,Elite Shooter;Connector;Defensive IQ,Veteran Stretch Big,src/data/players.ts,717
shane-battier,Shane Battier,Shane Battier,Houston Rockets,2001-2014,SF,PF,83,Sapphire,72,89,46,81,54,62,92,84,Wing Stopper;Defensive IQ;Elite Shooter,3-and-D Thinker,src/data/players.ts,708
stephen-jackson-bobcats,Stephen Jackson (Bobcats),Stephen Jackson (Bobcats),Charlotte Hornets,Team-specific historical variant,SG,SF,83,Sapphire,,,,,,,,,,,src/data/players.ts,884
steve-nash-lakers,Steve Nash (Lakers),Steve Nash (Lakers),Los Angeles Lakers,Team-specific historical variant,PG,SG,83,Sapphire,,,,,,,,,,,src/data/players.ts,885
steve-smith-spurs,Steve Smith (Spurs),Steve Smith (Spurs),San Antonio Spurs,Team-specific historical variant,SG,SF,83,Sapphire,,,,,,,,,,,src/data/players.ts,886
steven-adams-2025-26,Steven Adams (2025-26),Steven Adams (2025-26),Houston Rockets,2025-26,C,,83,Sapphire,82,84,80,78,90,86,84,78,,2025-26 Rotation Piece,src/data/players-current-2026.ts,503
taj-gibson,Taj Gibson,Taj Gibson,Chicago Bulls,2009-2023,PF,C,83,Sapphire,74,84,34,48,79,73,91,86,Motor;Interior Defender;Glue Guy,Defensive Frontcourt Glue,src/data/players.ts,538
theo-ratliff-76ers,Theo Ratliff (76ers),Theo Ratliff (76ers),Philadelphia 76ers,1997-2001,C,PF,83,Sapphire,58,92,24,18,84,76,84,66,Rim Protector;Defensive IQ;Glass Cleaner,Mobile Shot-Blocking Center,src/data/players.ts,719
tim-hardaway-jr-2025-26,Tim Hardaway Jr. (2025-26),Tim Hardaway Jr. (2025-26),Denver Nuggets,2025-26,SG,,83,Sapphire,83,75,78,90,74,79,84,96,Elite Shooter;Paint Pressure,2025-26 Perimeter Sniper,src/data/players-current-2026.ts,400
tom-gugliotta-timberwolves,Tom Gugliotta (Timberwolves),Tom Gugliotta (Timberwolves),Minnesota Timberwolves,Team-specific historical variant,PF,SF,83,Sapphire,,,,,,,,,,,src/data/players.ts,887
tre-johnson-2025-26,Tre Johnson (2025-26),Tre Johnson (2025-26),Washington Wizards,2025-26,SG,,83,Sapphire,86,79,85,90,81,84,81,88,,2025-26 Floor Spacer,src/data/players-current-2026.ts,544
tyreke-evans,Tyreke Evans,Tyreke Evans,Sacramento Kings,2009-2019,SG,PG;SF,83,Sapphire,83,58,76,69,52,82,81,68,Paint Pressure;Shot Creator;Connector,Power Slashing Combo Guard,src/data/players.ts,529
vernon-maxwell-rockets,Vernon Maxwell (Rockets),Vernon Maxwell (Rockets),Houston Rockets,Team-specific historical variant,SG,PG,83,Sapphire,,,,,,,,,,,src/data/players.ts,888
vlade-divac-lakers,Vlade Divac (Lakers),Vlade Divac (Lakers),Los Angeles Lakers,Team-specific historical variant,C,,83,Sapphire,,,,,,,,,,,src/data/players.ts,889
wally-szczerbiak,Wally Szczerbiak,Wally Szczerbiak,Minnesota Timberwolves,1999-2009,SF,SG,83,Sapphire,84,50,54,89,55,68,83,74,Elite Shooter;Off-Ball Gravity;Three-Level Scorer,Sharpshooting Scoring Wing,src/data/players.ts,599
zach-edey-2025-26,Zach Edey (2025-26),Zach Edey (2025-26),Memphis Grizzlies,2025-26,C,,83,Sapphire,86,84,79,81,89,85,83,73,Paint Pressure,2025-26 Rotation Piece,src/data/players-current-2026.ts,447
