id,player_name,canonical_name,card_name_version,team,era,primary_position,secondary_positions,current_ovr,proposed_ovr,delta,current_tier,proposed_tier,internal_score,peak_ability,career_achievement,longevity,playoff_performance,awards_honors,historical_impact,badges,archetype,model_source,confidence,evidence_level,nearest_anchor_above_or_equal,nearest_anchor_below_or_equal,manual_review,manual_review_reason,reasoning,source_file,source_line
naji-marshall-2025-26,Naji Marshall (2025-26),Naji Marshall,Naji Marshall (2025-26),Dallas Mavericks,2025-26,SF,,84,81,-3,Sapphire,Sapphire,81,83.5,79.7,78.7,80.9,79.4,80.2,Transition Force;Paint Pressure,2025-26 Connector Creator,proxy-model,low,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),,yes,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players-current-2026.ts,303
nene-nuggets,Nene (Nuggets),Nene,Nene (Nuggets),Denver Nuggets,Team-specific historical variant,C,PF,83,81,-2,Sapphire,Sapphire,81,82.5,80.5,79.5,80.8,80.2,79.2,,,proxy-model,medium,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),,yes,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players.ts,882
rudy-gay-raptors,Rudy Gay (Raptors),Rudy Gay,Rudy Gay (Raptors),Toronto Raptors,Team-specific historical variant,SF,PF,83,81,-2,Sapphire,Sapphire,81,82.5,80.5,79.5,80.8,80.2,79.2,,,proxy-model,medium,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),,yes,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players.ts,883
scoot-henderson-2025-26,Scoot Henderson (2025-26),Scoot Henderson,Scoot Henderson (2025-26),Portland Trail Blazers,2025-26,PG,,84,81,-3,Sapphire,Sapphire,81,83.5,79.7,78.7,80.9,79.4,80.2,,2025-26 Rotation Piece,proxy-model,low,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),,yes,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players-current-2026.ts,466
shawn-bradley,Shawn Bradley,Shawn Bradley,Shawn Bradley,Dallas Mavericks,1993-2005,C,,82,81,-1,Sapphire,Sapphire,81,83.8,79.5,78.9,79.8,80,78.8,Rim Protector;Paint Anchor;Defensive IQ,Towering Rim Deterrent,proxy-model,medium,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),,yes,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players.ts,676
stephen-jackson-bobcats,Stephen Jackson (Bobcats),Stephen Jackson,Stephen Jackson (Bobcats),Charlotte Hornets,Team-specific historical variant,SG,SF,83,81,-2,Sapphire,Sapphire,81,82.5,80.5,79.5,80.8,80.2,79.2,,,proxy-model,medium,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),,yes,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players.ts,884
steve-smith-spurs,Steve Smith (Spurs),Steve Smith,Steve Smith (Spurs),San Antonio Spurs,Team-specific historical variant,SG,SF,83,81,-2,Sapphire,Sapphire,81,82.5,80.5,79.5,80.8,80.2,79.2,,,proxy-model,medium,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),,yes,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players.ts,886
tom-gugliotta-timberwolves,Tom Gugliotta (Timberwolves),Tom Gugliotta,Tom Gugliotta (Timberwolves),Minnesota Timberwolves,Team-specific historical variant,PF,SF,83,81,-2,Sapphire,Sapphire,81,82.5,80.5,79.5,80.8,80.2,79.2,,,proxy-model,medium,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),,yes,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players.ts,887
vernon-maxwell-rockets,Vernon Maxwell (Rockets),Vernon Maxwell,Vernon Maxwell (Rockets),Houston Rockets,Team-specific historical variant,SG,PG,83,81,-2,Sapphire,Sapphire,81,82.5,80.5,79.5,80.8,80.2,79.2,,,proxy-model,medium,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),,yes,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players.ts,888
a-c-green-lakers,A.C. Green (Lakers),A.C. Green,A.C. Green (Lakers),Los Angeles Lakers,Team-specific historical variant,PF,C,83,81,-2,Sapphire,Sapphire,80.9,82.5,80.5,78.6,80.8,80.2,79.2,,,proxy-model,medium,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),,yes,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players.ts,826
andrei-kirilenko-nets,Andrei Kirilenko (Nets),Andrei Kirilenko,Andrei Kirilenko (Nets),Brooklyn Nets,Team-specific historical variant,SF,PF,83,81,-2,Sapphire,Sapphire,80.9,82.5,80.5,78.6,80.8,80.2,79.2,,,proxy-model,medium,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),,yes,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players.ts,828
eric-snow-76ers,Eric Snow (76ers),Eric Snow,Eric Snow (76ers),Philadelphia 76ers,1995-2008,PG,SG,82,81,-1,Sapphire,Sapphire,80.9,83.8,79.5,78.9,79.8,79.5,79.4,Floor General;Point-of-Attack;Defensive IQ,Defensive Floor General,proxy-model,medium,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),,yes,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players.ts,721
gordon-hayward-celtics,Gordon Hayward (Celtics),Gordon Hayward,Gordon Hayward (Celtics),Boston Celtics,Team-specific historical variant,SF,SG,83,81,-2,Sapphire,Sapphire,80.9,82.5,80.5,78.6,80.8,80.2,79.2,,,proxy-model,medium,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),,yes,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players.ts,835
jeremy-lin,Jeremy Lin,Jeremy Lin,Jeremy Lin,New York Knicks,2010-2019,PG,SG,82,81,-1,Sapphire,Sapphire,80.9,83.4,79.5,78.5,81.6,79.2,79.8,Paint Pressure;Floor General;Clutch,Burst Pick-and-Roll Guard,proxy-model,medium,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),,yes,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players.ts,691
kevin-garnett-nets,Kevin Garnett (Nets),Kevin Garnett,Kevin Garnett (Nets),Brooklyn Nets,Team-specific historical variant,PF,C,83,81,-2,Sapphire,Sapphire,80.9,82.5,80.5,78.6,80.8,80.2,79.2,,,proxy-model,medium,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),,yes,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players.ts,880
kyle-lowry-heat,Kyle Lowry (Heat),Kyle Lowry,Kyle Lowry (Heat),Miami Heat,Team-specific historical variant,PG,SG,83,81,-2,Sapphire,Sapphire,80.9,82.5,80.5,78.6,80.8,80.2,79.2,,,proxy-model,medium,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),,yes,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players.ts,881
steve-nash-lakers,Steve Nash (Lakers),Steve Nash,Steve Nash (Lakers),Los Angeles Lakers,Team-specific historical variant,PG,SG,83,81,-2,Sapphire,Sapphire,80.9,82.5,80.5,78.6,80.8,80.2,79.2,,,proxy-model,medium,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),,yes,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players.ts,885
vlade-divac-lakers,Vlade Divac (Lakers),Vlade Divac,Vlade Divac (Lakers),Los Angeles Lakers,Team-specific historical variant,C,,83,81,-2,Sapphire,Sapphire,80.9,82.5,80.5,78.6,80.8,80.2,79.2,,,proxy-model,medium,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),,yes,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players.ts,889
a-j-green-2025-26,A.J. Green (2025-26),A.J. Green,A.J. Green (2025-26),Milwaukee Bucks,2025-26,SG,,83,81,-2,Sapphire,Sapphire,80.8,84.6,78.7,77.7,79.9,78.7,80.5,Elite Shooter,2025-26 Perimeter Sniper,proxy-model,low,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),,yes,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players-current-2026.ts,449
andrea-bargnani,Andrea Bargnani,Andrea Bargnani,Andrea Bargnani,Toronto Raptors,2006-2016,PF,C,82,81,-1,Sapphire,Sapphire,80.8,83.7,79.5,78.5,79.8,79.2,79.8,Elite Shooter;Mismatch Weapon;Bench Scorer,Stretch Scoring Big,proxy-model,medium,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),,yes,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players.ts,499
craig-ehlo-cavs,Craig Ehlo (Cavs),Craig Ehlo,Craig Ehlo (Cavs),Cleveland Cavaliers,1983-1997,SG,SF,82,81,-1,Sapphire,Sapphire,80.8,83.3,79.5,79.2,80.2,79.2,79.5,Elite Shooter;Connector;Defensive IQ,Solid Two-Way Wing,proxy-model,medium,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),,yes,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players.ts,870
daniel-gafford-2025-26,Daniel Gafford (2025-26),Daniel Gafford,Daniel Gafford (2025-26),Dallas Mavericks,2025-26,C,,83,81,-2,Sapphire,Sapphire,80.8,84.4,78.7,77.7,79.9,79.2,79.8,Glass Cleaner;Rim Protector;Vertical Threat,2025-26 Interior Anchor,proxy-model,low,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),,yes,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players-current-2026.ts,336
davion-mitchell-2025-26,Davion Mitchell (2025-26),Davion Mitchell,Davion Mitchell (2025-26),Miami Heat,2025-26,PG,,83,81,-2,Sapphire,Sapphire,80.8,84.5,78.7,77.7,79.9,78.4,80.7,Floor General,2025-26 Shotmaking Guard,proxy-model,low,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),,yes,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players-current-2026.ts,383
kenny-smith,Kenny Smith,Kenny Smith,Kenny Smith,Houston Rockets,1987-1997,PG,SG,82,81,-1,Sapphire,Sapphire,80.8,83.6,79.5,78.5,79.8,79.2,80.1,Floor General;Elite Shooter;Tempo Control,Tempo Shooting Point Guard,proxy-model,medium,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),,yes,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players.ts,605
max-christie-2025-26,Max Christie (2025-26),Max Christie,Max Christie (2025-26),Dallas Mavericks,2025-26,SG,,83,81,-2,Sapphire,Sapphire,80.8,84.6,78.7,77.7,79.9,78.7,80.5,Elite Shooter,2025-26 Perimeter Sniper,proxy-model,low,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),,yes,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players-current-2026.ts,396
mitchell-robinson-2025-26,Mitchell Robinson (2025-26),Mitchell Robinson,Mitchell Robinson (2025-26),New York Knicks,2025-26,C,,83,81,-2,Sapphire,Sapphire,80.8,84.4,78.7,77.7,79.9,79.2,79.8,Glass Cleaner;Rim Protector;Point-of-Attack,2025-26 Interior Anchor,proxy-model,low,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),,yes,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players-current-2026.ts,349
tim-hardaway-jr-2025-26,Tim Hardaway Jr. (2025-26),Tim Hardaway Jr.,Tim Hardaway Jr. (2025-26),Denver Nuggets,2025-26,SG,,83,81,-2,Sapphire,Sapphire,80.8,84.6,78.7,77.7,79.9,78.7,80.5,Elite Shooter;Paint Pressure,2025-26 Perimeter Sniper,proxy-model,low,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),,yes,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players-current-2026.ts,400
al-harrington,Al Harrington,Al Harrington,Al Harrington,Indiana Pacers,1998-2014,PF,SF,82,81,-1,Sapphire,Sapphire,80.7,83.5,79.5,78.5,79.8,79.2,79.1,Three-Level Scorer;Mismatch Weapon;Bench Scorer,Scoring Combo Forward,proxy-model,medium,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),,yes,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players.ts,622
brandin-podziemski-2025-26,Brandin Podziemski (2025-26),Brandin Podziemski,Brandin Podziemski (2025-26),Golden State Warriors,2025-26,SG,,83,81,-2,Sapphire,Sapphire,80.7,84.4,78.7,77.7,79.9,78.7,80.4,Floor General;Transition Force;Paint Pressure,2025-26 Perimeter Sniper,proxy-model,low,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),,yes,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players-current-2026.ts,265
bryant-reeves,Bryant Reeves,Bryant Reeves,Bryant Reeves,Memphis Grizzlies,1995-2002,C,,82,81,-1,Sapphire,Sapphire,80.6,82.8,79.5,78.8,80.2,79.2,79.1,Post Scorer;Glass Cleaner;Connector,Skilled Interior Scoring Center,proxy-model,medium,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),,yes,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players.ts,587
doc-rivers,Doc Rivers,Doc Rivers,Doc Rivers,Atlanta Hawks,1983-1996,PG,SG,82,81,-1,Sapphire,Sapphire,80.6,82.7,79.5,78.8,80.2,79.2,79.4,Floor General;Point-of-Attack;Connector,Steady Lead Guard,proxy-model,medium,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),,yes,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players.ts,429
kerry-kittles,Kerry Kittles,Kerry Kittles,Kerry Kittles,Brooklyn Nets,1996-2005,SG,SF,82,81,-1,Sapphire,Sapphire,80.5,82.9,79.5,78.5,79.8,79.2,79.5,Elite Shooter;Transition Force;Wing Stopper,Two-Way Spacing Wing,proxy-model,medium,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),,yes,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players.ts,627
trevor-ariza-wizards,Trevor Ariza (Wizards),Trevor Ariza,Trevor Ariza (Wizards),Washington Wizards,2012-2014,SF,SG,82,81,-1,Sapphire,Sapphire,80.5,82.9,79.5,78.5,79.8,79.2,79.5,Wing Stopper;Transition Force;Elite Shooter,Athletic 3-and-D Wing,proxy-model,medium,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),,yes,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players.ts,733
andris-biedrins,Andris Biedrins,Andris Biedrins,Andris Biedrins,Golden State Warriors,2004-2014,C,,82,80,-2,Sapphire,Sapphire,80.5,82.7,79.5,78.5,79.8,79.5,78.8,Glass Cleaner;Vertical Threat;Motor,Rim-Running Rebounding Center,proxy-model,medium,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),,yes,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players.ts,666
danny-green-raptors,Danny Green (Raptors),Danny Green,Danny Green (Raptors),Toronto Raptors,2018-2019,SG,SF,81,80,-1,Sapphire,Sapphire,80.5,81.9,81,77.5,81.3,78.9,78.5,Elite Shooter;Point-of-Attack;Champion DNA,Championship 3-and-D Guard,proxy-model,medium,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),,yes,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players.ts,728
jakob-poeltl-2025-26,Jakob Poeltl (2025-26),Jakob Poeltl,Jakob Poeltl (2025-26),Toronto Raptors,2025-26,C,,83,80,-3,Sapphire,Sapphire,80.5,83.7,78.7,77.7,79.9,78.7,79.8,Glass Cleaner,2025-26 Interior Anchor,proxy-model,low,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),,yes,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players-current-2026.ts,339
marcin-gortat,Marcin Gortat,Marcin Gortat,Marcin Gortat,Washington Wizards,2007-2020,C,,82,80,-2,Sapphire,Sapphire,80.5,82.7,79.5,78.5,79.8,79.5,78.8,Glass Cleaner;Roll Threat;Paint Anchor,Screening Rebound Anchor,proxy-model,medium,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),,yes,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players.ts,651
miles-mcbride-2025-26,Miles McBride (2025-26),Miles McBride,Miles McBride (2025-26),New York Knicks,2025-26,SG,,83,80,-3,Sapphire,Sapphire,80.5,83.7,78.7,77.7,79.9,78.7,79.8,,2025-26 Perimeter Sniper,proxy-model,low,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),,yes,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players-current-2026.ts,419
muggsy-bogues,Muggsy Bogues,Muggsy Bogues,Muggsy Bogues,Charlotte Hornets,1987-2001,PG,,82,80,-2,Sapphire,Sapphire,80.5,82.7,79.5,78.5,79.8,79.2,79.4,Floor General;Tempo Control;Point-of-Attack,Tiny Table Setter,proxy-model,medium,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),,yes,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players.ts,553
nick-young-wizards,Nick Young (Wizards),Nick Young,Nick Young (Wizards),Washington Wizards,2007-2012,SG,SF,82,80,-2,Sapphire,Sapphire,80.4,82.2,79.5,78.5,81.6,79.2,78.6,Bench Scorer;Shot Creator;Clutch,Confident Bench Gunner,proxy-model,medium,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),,yes,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players.ts,844
bilal-coulibaly-2025-26,Bilal Coulibaly (2025-26),Bilal Coulibaly,Bilal Coulibaly (2025-26),Washington Wizards,2025-26,SG,,83,80,-3,Sapphire,Sapphire,80.2,83,78.7,77.7,79.9,78.4,79.8,Transition Force;Point-of-Attack,2025-26 Transition Threat,proxy-model,low,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),,yes,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players-current-2026.ts,405
brice-sensabaugh-2025-26,Brice Sensabaugh (2025-26),Brice Sensabaugh,Brice Sensabaugh (2025-26),Utah Jazz,2025-26,SF,,83,80,-3,Sapphire,Sapphire,80.2,83,78.7,77.7,79.9,78.4,79.8,Paint Pressure,2025-26 Floor Spacer,proxy-model,low,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),,yes,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players-current-2026.ts,407
jake-laravia-2025-26,Jake LaRavia (2025-26),Jake LaRavia,Jake LaRavia (2025-26),Los Angeles Lakers,2025-26,PF,,83,80,-3,Sapphire,Sapphire,80.2,83,78.7,77.7,79.9,78.4,79.8,Switchable Big;Transition Force;Point-of-Attack,2025-26 Frontcourt Enforcer,proxy-model,low,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),,yes,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players-current-2026.ts,365
jaylen-wells-2025-26,Jaylen Wells (2025-26),Jaylen Wells,Jaylen Wells (2025-26),Memphis Grizzlies,2025-26,SG,,83,80,-3,Sapphire,Sapphire,80.2,83,78.7,77.7,79.9,78.4,79.8,,2025-26 Floor Spacer,proxy-model,low,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),,yes,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players-current-2026.ts,459
tre-johnson-2025-26,Tre Johnson (2025-26),Tre Johnson,Tre Johnson (2025-26),Washington Wizards,2025-26,SG,,83,80,-3,Sapphire,Sapphire,80.2,83,78.7,77.7,79.9,78.4,79.8,,2025-26 Floor Spacer,proxy-model,low,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),,yes,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players-current-2026.ts,544
tristan-thompson,Tristan Thompson,Tristan Thompson,Tristan Thompson,Cleveland Cavaliers,2011-2024,C,PF,82,80,-2,Sapphire,Sapphire,80.2,82,79.5,78.5,79.8,79.2,78.8,Glass Cleaner;Motor;Switchable Big,Switchable Energy Rebound Big,proxy-model,medium,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),,yes,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players.ts,639
julius-randle-lakers,Julius Randle (Lakers),Julius Randle,Julius Randle (Lakers),Los Angeles Lakers,2014-2018,PF,C,82,80,-2,Sapphire,Sapphire,80.1,82,79.5,77.6,79.8,79.2,78.8,Paint Pressure;Motor;Glass Cleaner,Young Bully-Ball Forward,proxy-model,medium,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),,yes,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players.ts,837
lance-stephenson,Lance Stephenson,Lance Stephenson,Lance Stephenson,Indiana Pacers,2010-2022,SG,SF;PG,82,80,-2,Sapphire,Sapphire,80.1,81.5,79.5,78.8,80.2,79.2,78.2,Connector;Point-of-Attack;Transition Force,Chaotic Two-Way Connector,proxy-model,medium,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),,yes,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players.ts,472
matt-barnes-clippers,Matt Barnes (Clippers),Matt Barnes,Matt Barnes (Clippers),Los Angeles Clippers,2012-2015,SF,PF;SG,82,80,-2,Sapphire,Sapphire,80.1,81.5,79.5,78.8,80.2,79.2,78.2,Wing Stopper;Motor;Connector,Enforcer Glue Wing,proxy-model,medium,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),,yes,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players.ts,657
steve-kerr,Steve Kerr,Steve Kerr,Steve Kerr,Chicago Bulls,1988-2003,PG,SG,81,80,-1,Sapphire,Sapphire,80.1,82.8,78.5,77.5,80.6,78.2,79.3,Elite Shooter;Off-Ball Gravity;Clutch,Specialist Floor Spacer,proxy-model,medium,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),,yes,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players.ts,369
aaron-wiggins-2025-26,Aaron Wiggins (2025-26),Aaron Wiggins,Aaron Wiggins (2025-26),Oklahoma City Thunder,2025-26,SG,,83,80,-3,Sapphire,Sapphire,80,82.5,78.7,77.7,79.9,78.4,79.2,Wing Stopper,2025-26 Rotation Piece,proxy-model,low,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),,yes,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players-current-2026.ts,426
alex-caruso-2025-26,Alex Caruso (2025-26),Alex Caruso,Alex Caruso (2025-26),Oklahoma City Thunder,2025-26,SG,,83,80,-3,Sapphire,Sapphire,80,82.5,78.7,77.7,79.9,78.4,79.2,Wing Stopper;Point-of-Attack,2025-26 Rotation Piece,proxy-model,low,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),,yes,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players-current-2026.ts,471
boris-diaw-spurs,Boris Diaw (Spurs),Boris Diaw,Boris Diaw (Spurs),San Antonio Spurs,Team-specific historical variant,PF,C,82,80,-2,Sapphire,Sapphire,80,81.5,79.5,78.5,79.8,79.2,78.2,,,proxy-model,medium,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),,yes,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players.ts,890
